awayTeamCode,game_id,homeTeamCode,homeTeamWon,isPlayoffGame,season,total_games_played_by_home,total_games_played_by_away,total_wins_home,total_losses_home,total_wins_away,total_losses_away,last_10_games_win_home,last_10_games_win_away,last_meeting_result,last_game_result_home,last_game_result_away
NYI,20992,VAN,0,0,2016,66,65,28,38,31,34,3,6,1,0.0,1.0
NSH,20993,LAK,1,0,2016,65,66,31,34,32,34,3,5,0,0.0,0.0
WSH,20994,SJS,1,0,2016,65,65,39,26,44,21,6,6,1,1.0,0.0
BUF,20995,CBJ,1,0,2016,65,67,42,23,27,40,7,3,0,1.0,0.0
CHI,20996,DET,1,0,2016,66,66,26,40,42,24,3,8,1,0.0,0.0
MIN,20997,FLA,0,0,2016,65,65,29,36,42,23,4,5,0,0.0,0.0
ANA,20998,STL,1,0,2016,65,67,33,32,35,32,5,6,1,1.0,1.0
PIT,20999,EDM,0,0,2016,66,65,35,31,41,24,6,6,1,0.0,1.0
PHI,21000,BOS,1,0,2016,67,66,35,32,31,35,7,4,1,1.0,0.0
NSH,21001,SJS,0,0,2016,66,67,40,26,32,35,7,5,0,1.0,0.0
CBJ,21002,BUF,1,0,2016,68,66,27,41,43,23,2,7,1,0.0,1.0
FLA,21003,TBL,1,0,2016,66,66,31,35,29,37,6,3,1,1.0,0.0
TOR,21004,CAR,0,0,2016,65,66,27,38,30,36,3,4,1,1.0,1.0
CGY,21005,WPG,0,0,2016,68,67,30,38,37,30,5,9,1,0.0,1.0
OTT,21006,COL,0,0,2016,66,66,19,47,38,28,3,7,1,1.0,1.0
NYI,21007,STL,1,0,2016,66,66,34,32,32,34,5,6,1,1.0,1.0
NJD,21008,ARI,1,0,2016,66,67,23,43,25,42,3,1,1,0.0,0.0
PIT,21009,VAN,0,0,2016,67,66,28,39,42,24,3,6,0,0.0,1.0
WSH,21010,LAK,1,0,2016,66,66,32,34,44,22,4,5,0,1.0,0.0
NYR,21011,DET,0,0,2016,67,68,27,40,43,25,4,5,0,1.0,0.0
MIN,21012,CHI,1,0,2016,67,66,42,25,43,23,7,6,0,0.0,1.0
MTL,21013,EDM,0,0,2016,67,68,35,32,38,30,5,7,1,0.0,0.0
WSH,21014,ANA,1,0,2016,68,67,35,33,44,23,5,5,0,0.0,0.0
DAL,21015,SJS,1,0,2016,67,67,40,27,27,40,6,5,0,0.0,0.0
CAR,21016,NYI,0,0,2016,67,66,32,35,27,39,6,3,1,0.0,0.0
TBL,21017,NYR,0,0,2016,69,67,44,25,32,35,6,7,1,1.0,1.0
CBJ,21018,PHI,0,0,2016,67,67,31,36,43,24,4,6,0,0.0,0.0
WPG,21019,NSH,1,0,2016,68,69,33,35,30,39,5,4,0,1.0,0.0
PIT,21020,CGY,1,0,2016,68,67,38,30,43,24,9,7,1,1.0,1.0
BOS,21021,VAN,0,0,2016,68,68,28,40,36,32,3,7,1,0.0,1.0
COL,21022,ARI,1,0,2016,67,67,24,43,19,48,4,3,1,1.0,0.0
STL,21023,LAK,0,0,2016,67,67,33,34,35,32,5,5,1,1.0,1.0
WPG,21024,NJD,0,0,2016,68,70,25,43,30,40,0,4,1,0.0,0.0
MIN,21025,WSH,1,0,2016,68,67,44,24,43,24,5,5,1,0.0,0.0
NYI,21026,CAR,0,0,2016,67,68,28,39,32,36,4,5,1,1.0,0.0
CHI,21027,MTL,0,0,2016,69,68,39,30,43,25,8,8,1,1.0,1.0
TBL,21028,OTT,0,0,2016,67,68,39,28,33,35,8,7,0,1.0,1.0
TOR,21029,FLA,1,0,2016,67,67,29,38,31,36,2,5,1,0.0,1.0
DAL,21030,EDM,1,0,2016,68,68,35,33,27,41,4,5,1,0.0,0.0
ARI,21031,LAK,0,0,2016,68,68,33,35,25,43,5,4,1,0.0,1.0
BUF,21032,SJS,1,0,2016,68,69,41,27,28,41,7,2,0,1.0,1.0
PIT,21033,PHI,1,0,2016,68,68,31,37,43,25,4,7,0,0.0,0.0
BOS,21034,CGY,0,0,2016,69,69,39,30,37,32,10,7,1,1.0,1.0
DET,21035,COL,1,0,2016,68,68,19,49,27,41,3,4,1,0.0,0.0
STL,21036,ANA,1,0,2016,69,68,36,33,36,32,6,5,0,1.0,1.0
PHI,21037,NJD,1,0,2016,69,69,25,44,32,37,0,4,1,0.0,1.0
WPG,21038,NYI,0,0,2016,69,71,33,36,31,40,5,4,1,1.0,1.0
NSH,21039,WSH,0,0,2016,69,69,45,24,34,35,5,6,0,1.0,1.0
MIN,21040,CAR,1,0,2016,68,68,28,40,43,25,3,4,0,0.0,0.0
FLA,21041,CBJ,1,0,2016,68,68,44,24,30,38,7,2,0,1.0,1.0
CHI,21042,OTT,0,0,2016,68,69,39,29,44,25,7,8,1,0.0,1.0
TOR,21043,TBL,0,0,2016,69,68,34,35,31,37,7,4,1,1.0,0.0
BOS,21044,EDM,1,0,2016,69,70,36,33,38,32,4,8,0,1.0,1.0
DAL,21045,VAN,0,0,2016,69,69,28,41,27,42,2,5,0,0.0,0.0
DET,21046,ARI,0,0,2016,69,69,26,43,27,42,5,3,1,1.0,0.0
BUF,21047,LAK,1,0,2016,69,70,33,36,28,42,4,2,0,0.0,0.0
STL,21048,SJS,0,0,2016,69,69,42,27,36,33,7,5,1,1.0,0.0
FLA,21049,NYR,0,0,2016,70,69,44,26,30,39,5,2,0,0.0,0.0
NJD,21050,PIT,1,0,2016,69,70,43,26,26,44,6,1,0,0.0,1.0
DAL,21051,CGY,1,0,2016,70,70,39,31,28,42,9,5,1,0.0,1.0
BUF,21052,ANA,0,0,2016,70,71,37,33,28,43,6,2,1,1.0,0.0
COL,21053,DET,1,0,2016,70,69,28,42,20,49,3,4,1,1.0,1.0
CBJ,21054,NYI,0,0,2016,70,69,33,37,45,24,4,7,1,0.0,1.0
CHI,21055,TOR,0,0,2016,69,70,32,37,45,25,4,8,0,1.0,1.0
MTL,21056,OTT,0,0,2016,69,70,39,30,39,31,7,7,1,0.0,0.0
WSH,21057,TBL,0,0,2016,70,70,34,36,45,25,7,4,0,0.0,0.0
NSH,21058,CAR,1,0,2016,69,70,29,40,35,35,4,6,0,1.0,1.0
NYR,21059,MIN,0,0,2016,69,71,43,26,44,27,4,4,1,0.0,0.0
STL,21060,ARI,0,0,2016,70,70,26,44,37,33,5,6,1,0.0,1.0
VAN,21061,EDM,1,0,2016,70,70,37,33,28,42,5,2,1,1.0,0.0
ANA,21062,SJS,0,0,2016,70,71,42,28,37,34,7,6,0,0.0,0.0
CBJ,21063,NJD,0,0,2016,71,70,26,45,46,24,1,7,1,0.0,1.0
FLA,21064,PIT,1,0,2016,70,70,44,26,31,39,6,3,0,1.0,1.0
MIN,21065,WPG,1,0,2016,72,70,32,40,43,27,4,3,1,1.0,0.0
CAR,21066,PHI,1,0,2016,70,70,32,38,30,40,4,5,0,0.0,1.0
COL,21067,CHI,1,0,2016,71,70,46,25,20,50,8,3,0,1.0,0.0
OTT,21068,MTL,1,0,2016,71,70,40,31,39,31,8,6,0,1.0,0.0
LAK,21069,CGY,1,0,2016,71,70,40,31,34,36,9,5,1,1.0,1.0
BOS,21070,TOR,1,0,2016,70,71,32,38,38,33,4,7,1,0.0,0.0
BUF,21071,DET,0,0,2016,71,72,29,42,29,43,4,3,1,1.0,1.0
ARI,21072,NSH,1,0,2016,71,71,35,36,26,45,5,4,1,0.0,0.0
SJS,21073,DAL,1,0,2016,71,71,28,43,42,29,4,6,1,0.0,0.0
LAK,21074,EDM,1,0,2016,71,71,38,33,34,37,5,4,1,1.0,0.0
OTT,21075,BOS,0,0,2016,72,71,38,34,39,32,6,6,0,0.0,0.0
PIT,21076,BUF,0,0,2016,73,71,30,43,45,26,4,7,1,1.0,1.0
NYR,21077,NJD,1,0,2016,72,72,26,46,45,27,1,5,0,0.0,1.0
CGY,21078,WSH,1,0,2016,71,72,46,25,41,31,5,9,1,1.0,1.0
DET,21079,MTL,0,0,2016,72,72,41,31,29,43,8,3,0,1.0,0.0
ARI,21080,TBL,0,0,2016,71,72,34,37,26,46,6,4,1,0.0,0.0
CAR,21081,FLA,0,0,2016,71,71,31,40,30,41,3,5,1,0.0,0.0
SJS,21082,MIN,1,0,2016,71,72,43,28,42,30,2,5,1,0.0,0.0
PHI,21083,WPG,1,0,2016,73,71,33,40,33,38,5,5,0,1.0,1.0
VAN,21084,CHI,0,0,2016,72,71,47,25,28,43,8,2,0,1.0,0.0
STL,21085,COL,0,0,2016,71,71,20,51,38,33,3,7,0,0.0,1.0
TOR,21086,CBJ,0,0,2016,71,71,47,24,33,38,8,5,1,1.0,1.0
NYI,21087,NYR,0,0,2016,73,71,45,28,33,38,5,4,1,0.0,0.0
EDM,21088,ANA,1,0,2016,72,72,38,34,39,33,6,6,0,1.0,1.0
TBL,21089,BOS,0,0,2016,73,72,38,35,34,38,5,5,0,0.0,0.0
CBJ,21090,WSH,1,0,2016,72,72,47,25,47,25,5,7,1,1.0,0.0
NJD,21091,TOR,1,0,2016,72,73,34,38,27,46,6,2,0,1.0,1.0
CAR,21092,MTL,0,0,2016,73,72,41,32,31,41,7,6,0,0.0,1.0
PIT,21093,OTT,1,0,2016,72,72,40,32,46,26,6,8,1,1.0,1.0
ARI,21094,FLA,1,0,2016,72,73,31,41,27,46,2,5,1,0.0,1.0
VAN,21095,STL,1,0,2016,72,72,39,33,29,43,8,3,1,1.0,1.0
CGY,21096,NSH,1,0,2016,72,73,36,36,41,32,5,8,0,1.0,0.0
PHI,21097,MIN,0,0,2016,72,72,44,28,33,39,3,4,0,1.0,0.0
DAL,21098,CHI,1,0,2016,73,72,47,26,29,43,7,5,1,0.0,1.0
EDM,21099,COL,0,0,2016,72,73,20,52,39,34,3,6,1,0.0,0.0
WPG,21100,LAK,1,0,2016,72,74,34,38,34,40,4,6,0,0.0,1.0
NYI,21101,PIT,0,0,2016,73,72,46,27,34,38,7,4,0,0.0,1.0
TBL,21102,DET,0,0,2016,73,73,30,43,35,38,4,6,1,1.0,1.0
SJS,21103,DAL,1,0,2016,73,73,29,44,42,31,4,4,1,0.0,0.0
WPG,21104,ANA,1,0,2016,73,75,39,34,34,41,7,5,0,1.0,0.0
PHI,21105,CBJ,1,0,2016,73,73,47,26,34,39,7,4,1,0.0,1.0
VAN,21106,MIN,0,0,2016,73,73,44,29,29,44,2,3,1,0.0,0.0
TOR,21107,BUF,1,0,2016,74,73,30,44,35,38,3,7,0,0.0,1.0
OTT,21108,MTL,1,0,2016,74,73,41,33,41,32,6,6,0,0.0,1.0
CHI,21109,FLA,1,0,2016,73,74,32,41,48,26,3,7,1,1.0,1.0
CAR,21110,NJD,0,0,2016,74,73,27,47,32,41,2,6,0,0.0,1.0
BOS,21111,NYI,0,0,2016,73,74,35,38,38,36,5,5,1,1.0,0.0
ARI,21112,WSH,1,0,2016,73,74,48,25,27,47,5,4,0,1.0,0.0
CGY,21113,STL,0,0,2016,73,74,40,33,41,33,9,7,1,1.0,0.0
SJS,21114,NSH,1,0,2016,73,74,37,36,42,32,5,4,1,1.0,0.0
COL,21115,EDM,1,0,2016,74,73,40,34,20,53,6,3,1,1.0,0.0
NYR,21116,LAK,0,0,2016,73,74,35,38,45,29,5,4,1,1.0,0.0
PHI,21117,PIT,0,0,2016,74,74,46,28,34,40,6,4,1,0.0,0.0
DAL,21118,NJD,0,0,2016,75,74,27,48,30,44,2,5,0,0.0,1.0
MIN,21119,DET,1,0,2016,74,74,30,44,44,30,4,2,1,0.0,0.0
VAN,21120,WPG,1,0,2016,76,74,34,42,30,44,4,3,1,0.0,1.0
NYR,21121,ANA,1,0,2016,74,75,40,34,46,29,7,5,0,1.0,1.0
FLA,21122,BUF,1,0,2016,75,74,31,44,33,41,4,4,0,1.0,1.0
NSH,21123,NYI,0,0,2016,74,74,35,39,38,36,5,6,1,0.0,1.0
CHI,21124,TBL,1,0,2016,74,75,36,38,48,27,6,6,0,1.0,0.0
ARI,21125,STL,1,0,2016,74,75,40,34,27,48,8,4,1,0.0,0.0
COL,21126,CGY,1,0,2016,75,74,42,33,20,54,7,3,0,1.0,0.0
NSH,21127,BOS,1,0,2016,75,75,39,36,39,36,5,7,1,1.0,1.0
OTT,21128,PHI,1,0,2016,75,74,35,40,41,33,4,5,1,1.0,0.0
DET,21129,CAR,1,0,2016,74,75,33,41,31,44,7,5,1,1.0,1.0
BUF,21130,CBJ,1,0,2016,74,76,48,26,32,44,7,5,0,1.0,1.0
FLA,21131,TOR,1,0,2016,74,75,35,39,33,42,7,4,1,0.0,0.0
DAL,21132,MTL,1,0,2016,75,75,42,33,31,44,6,5,0,1.0,1.0
WSH,21133,MIN,0,0,2016,75,74,44,31,49,25,2,5,1,0.0,1.0
LAK,21134,EDM,1,0,2016,75,74,41,34,35,39,6,4,1,1.0,0.0
ANA,21135,VAN,0,0,2016,75,75,30,45,41,34,2,8,1,0.0,1.0
NYR,21136,SJS,1,0,2016,75,76,42,33,46,30,3,4,1,0.0,0.0
CHI,21137,PIT,0,0,2016,75,76,46,29,48,28,5,6,0,0.0,0.0
LAK,21138,CGY,0,0,2016,76,75,43,33,35,40,7,4,1,1.0,0.0
WSH,21139,COL,0,0,2016,75,75,20,55,50,25,2,6,1,0.0,1.0
STL,21140,ARI,0,0,2016,76,75,27,49,41,34,4,8,1,0.0,1.0
DAL,21141,BOS,1,0,2016,76,76,40,36,31,45,6,4,1,1.0,0.0
NYI,21142,PHI,1,0,2016,76,75,36,40,35,40,5,4,0,1.0,0.0
CBJ,21143,CAR,1,0,2016,75,75,34,41,49,26,7,7,1,1.0,1.0
FLA,21144,MTL,1,0,2016,76,76,43,33,33,43,6,4,1,1.0,0.0
DET,21145,TBL,1,0,2016,75,76,37,38,31,45,7,5,0,1.0,0.0
TOR,21146,NSH,0,0,2016,76,75,39,37,36,39,7,7,1,0.0,1.0
OTT,21147,MIN,1,0,2016,76,75,44,32,41,34,1,4,1,0.0,0.0
ANA,21148,WPG,1,0,2016,77,76,35,42,42,34,5,8,1,1.0,1.0
SJS,21149,EDM,1,0,2016,76,76,42,34,43,33,7,3,1,1.0,1.0
PIT,21150,NYR,0,0,2016,77,76,46,31,46,30,3,4,0,0.0,0.0
NJD,21151,NYI,1,0,2016,76,76,35,41,27,49,3,2,0,0.0,0.0
CBJ,21152,CHI,1,0,2016,77,76,49,28,49,27,7,6,0,1.0,0.0
STL,21153,COL,1,0,2016,76,76,20,56,42,34,1,8,0,0.0,1.0
SJS,21154,CGY,1,0,2016,77,77,43,34,43,34,6,3,1,0.0,0.0
LAK,21155,VAN,0,0,2016,76,76,30,46,36,40,2,4,0,0.0,1.0
WSH,21156,ARI,1,0,2016,77,76,27,50,51,25,3,7,1,0.0,1.0
FLA,21157,BOS,1,0,2016,77,77,41,36,33,44,6,4,0,1.0,0.0
MIN,21158,NSH,1,0,2016,77,77,39,38,45,32,7,2,1,0.0,1.0
TOR,21159,DET,0,0,2016,77,76,31,46,37,39,4,7,0,0.0,1.0
MTL,21160,TBL,0,0,2016,76,77,38,38,44,33,7,6,1,1.0,1.0
NJD,21161,PHI,1,0,2016,77,77,37,40,27,50,6,2,1,1.0,0.0
DAL,21162,CAR,0,0,2016,76,77,35,41,31,46,8,4,0,1.0,0.0
OTT,21163,WPG,1,0,2016,78,76,36,42,41,35,6,3,0,1.0,0.0
ANA,21164,EDM,1,0,2016,77,77,43,34,42,35,8,7,1,1.0,0.0
BOS,21165,CHI,0,0,2016,78,78,50,28,42,36,7,6,0,1.0,1.0
NYI,21166,BUF,0,0,2016,77,77,32,45,36,41,5,4,1,0.0,1.0
CAR,21167,PIT,1,0,2016,77,77,47,30,35,42,4,7,1,1.0,0.0
DAL,21168,TBL,1,0,2016,77,78,38,39,32,46,6,5,1,0.0,1.0
WSH,21169,CBJ,0,0,2016,77,77,49,28,51,26,6,7,0,0.0,0.0
NSH,21170,STL,1,0,2016,77,78,42,35,40,38,7,7,0,0.0,1.0
COL,21171,MIN,1,0,2016,78,77,45,33,21,56,2,2,0,0.0,1.0
SJS,21172,VAN,0,0,2016,77,78,30,47,43,35,2,2,1,0.0,0.0
PHI,21173,NYR,1,0,2016,78,78,46,32,38,40,3,7,0,0.0,1.0
ANA,21174,CGY,0,0,2016,78,78,44,34,42,36,6,7,0,1.0,0.0
ARI,21175,LAK,0,0,2016,77,78,37,40,28,50,4,3,1,1.0,1.0
TOR,21176,BUF,0,0,2016,78,77,32,46,38,39,5,7,0,0.0,1.0
OTT,21177,DET,1,0,2016,78,77,31,47,41,36,4,2,0,0.0,0.0
MTL,21178,FLA,0,0,2016,78,78,33,45,45,33,3,7,1,0.0,1.0
TBL,21179,BOS,1,0,2016,79,78,43,36,39,39,6,6,0,1.0,1.0
PHI,21180,NJD,1,0,2016,78,79,27,51,38,41,2,6,1,0.0,0.0
CBJ,21181,PIT,1,0,2016,78,78,48,30,49,29,5,5,1,1.0,0.0
WSH,21182,TOR,0,0,2016,78,78,39,39,52,26,8,8,1,1.0,1.0
DET,21183,OTT,1,0,2016,78,79,41,37,32,47,2,5,1,0.0,1.0
WPG,21184,STL,0,0,2016,78,79,43,35,37,42,7,7,0,1.0,1.0
NYI,21185,NSH,0,0,2016,79,78,40,39,37,41,6,5,1,0.0,1.0
CAR,21186,MIN,1,0,2016,79,78,46,33,35,43,3,7,0,1.0,0.0
ARI,21187,DAL,1,0,2016,79,79,32,47,29,50,5,3,1,0.0,1.0
CHI,21188,COL,1,0,2016,78,79,21,57,50,29,2,6,1,0.0,0.0
CGY,21189,ANA,1,0,2016,79,79,43,36,44,35,7,5,0,1.0,0.0
EDM,21190,LAK,1,0,2016,78,78,37,41,44,34,4,9,0,0.0,1.0
VAN,21191,SJS,1,0,2016,79,78,44,35,30,48,2,2,1,1.0,0.0
MTL,21192,BUF,1,0,2016,79,79,32,47,46,33,4,7,0,0.0,1.0
NYR,21193,WSH,1,0,2016,79,79,53,26,47,32,8,3,0,1.0,1.0
OTT,21194,BOS,0,0,2016,80,79,44,36,42,37,6,3,0,1.0,1.0
PIT,21195,NJD,0,0,2016,79,79,28,51,49,30,3,6,0,1.0,1.0
NYI,21196,CAR,0,0,2016,79,79,35,44,38,41,6,5,1,0.0,1.0
WPG,21197,CBJ,0,0,2016,79,80,49,30,38,42,4,8,0,0.0,1.0
TBL,21198,TOR,0,0,2016,79,79,39,40,39,40,7,5,0,0.0,0.0
STL,21199,FLA,0,0,2016,79,79,33,46,43,36,3,7,0,0.0,0.0
NSH,21200,DAL,0,0,2016,80,80,33,47,40,40,5,5,0,1.0,0.0
MIN,21201,COL,0,0,2016,79,80,22,57,47,33,2,4,1,1.0,1.0
VAN,21202,ARI,1,0,2016,80,79,29,51,30,49,3,2,0,0.0,0.0
CHI,21203,ANA,1,0,2016,80,80,44,36,50,30,7,5,1,1.0,0.0
CGY,21204,LAK,0,0,2016,79,80,38,41,44,36,5,5,1,1.0,0.0
EDM,21205,SJS,0,0,2016,80,79,45,35,44,35,3,8,0,1.0,0.0
TBL,21206,MTL,0,0,2016,80,80,46,34,40,40,7,6,0,0.0,1.0
NYR,21207,OTT,1,0,2016,80,80,43,37,47,33,4,3,0,1.0,0.0
CBJ,21208,PHI,1,0,2016,80,80,38,42,49,31,6,3,0,0.0,0.0
WSH,21209,BOS,0,0,2016,81,80,44,37,54,26,6,9,0,0.0,1.0
NYI,21210,NJD,0,0,2016,80,80,28,52,39,41,2,6,0,0.0,1.0
PIT,21211,TOR,1,0,2016,80,80,39,41,50,30,7,6,1,0.0,1.0
MTL,21212,DET,0,0,2016,80,81,32,48,46,35,4,6,1,0.0,0.0
BUF,21213,FLA,1,0,2016,80,80,33,47,33,47,2,5,1,0.0,1.0
STL,21214,CAR,0,0,2016,80,80,35,45,44,36,5,7,0,0.0,1.0
NSH,21215,WPG,1,0,2016,81,81,39,42,41,40,8,6,0,1.0,1.0
COL,21216,DAL,1,0,2016,81,80,33,48,22,58,5,2,0,0.0,0.0
MIN,21217,ARI,0,0,2016,81,81,30,51,48,33,4,5,0,1.0,1.0
EDM,21218,VAN,0,0,2016,80,80,30,50,45,35,2,8,0,0.0,1.0
CGY,21219,SJS,1,0,2016,81,81,45,36,45,36,3,5,0,0.0,1.0
CHI,21220,LAK,1,0,2016,80,81,38,42,50,31,4,4,1,0.0,0.0
NJD,21221,DET,1,0,2016,81,81,32,49,28,53,3,2,1,0.0,0.0
BUF,21222,TBL,1,0,2016,81,81,41,40,33,48,7,5,0,1.0,0.0
OTT,21223,NYI,1,0,2016,81,81,40,41,44,37,7,5,0,1.0,1.0
CBJ,21224,TOR,0,0,2016,81,81,40,41,49,32,7,2,0,1.0,0.0
COL,21225,STL,1,0,2016,81,81,45,36,22,59,7,2,0,1.0,0.0
PIT,21226,NYR,1,0,2016,81,81,47,34,50,31,3,5,0,0.0,0.0
CAR,21227,PHI,0,0,2016,81,81,39,42,35,46,6,5,0,1.0,0.0
FLA,21228,WSH,0,0,2016,81,81,55,26,34,47,9,3,0,1.0,1.0
LAK,21229,ANA,1,0,2016,81,81,45,36,39,42,8,5,1,1.0,1.0
VAN,21230,EDM,1,0,2016,81,81,46,35,30,51,8,2,1,1.0,0.0
NYR,30111,MTL,0,1,2016,82,82,47,35,48,34,6,3,1,1.0,1.0
NYR,30112,MTL,1,1,2016,83,83,47,36,49,34,6,4,1,0.0,1.0
MTL,30113,NYR,0,1,2016,84,84,49,35,48,36,4,7,1,0.0,1.0
MTL,30114,NYR,1,1,2016,85,85,49,36,49,36,3,7,1,0.0,1.0
NYR,30115,MTL,0,1,2016,86,86,49,37,50,36,6,4,1,0.0,1.0
MTL,30116,NYR,1,1,2016,87,87,51,36,49,38,5,5,1,1.0,0.0
BOS,30121,OTT,0,1,2016,82,82,44,38,44,38,4,6,0,0.0,0.0
BOS,30122,OTT,1,1,2016,83,83,44,39,45,38,3,7,0,0.0,1.0
OTT,30123,BOS,0,1,2016,84,84,45,39,45,39,7,4,0,0.0,1.0
OTT,30124,BOS,0,1,2016,85,85,45,40,46,39,6,5,0,0.0,1.0
BOS,30125,OTT,0,1,2016,86,86,47,39,45,41,6,5,0,1.0,0.0
OTT,30126,BOS,0,1,2016,87,87,46,41,47,40,5,6,0,1.0,0.0
TOR,30131,WSH,1,1,2016,82,82,55,27,40,42,8,6,0,0.0,0.0
TOR,30132,WSH,0,1,2016,83,83,56,27,40,43,8,5,0,1.0,0.0
WSH,30133,TOR,1,1,2016,84,84,41,43,56,28,6,7,1,1.0,0.0
WSH,30134,TOR,0,1,2016,85,85,42,43,56,29,6,6,1,1.0,0.0
TOR,30135,WSH,1,1,2016,86,86,57,29,42,44,6,5,0,1.0,0.0
WSH,30136,TOR,0,1,2016,87,87,42,45,58,29,4,7,1,0.0,1.0
CBJ,30141,PIT,1,1,2016,82,82,50,32,50,32,4,3,1,0.0,1.0
CBJ,30142,PIT,1,1,2016,83,83,51,32,50,33,5,3,1,1.0,0.0
PIT,30143,CBJ,0,1,2016,84,84,50,34,52,32,2,6,1,0.0,1.0
PIT,30144,CBJ,1,1,2016,85,85,50,35,53,32,1,7,1,0.0,1.0
CBJ,30145,PIT,1,1,2016,86,86,53,33,51,35,7,2,1,0.0,1.0
NSH,30151,CHI,0,1,2016,82,82,50,32,41,41,3,5,0,0.0,0.0
NSH,30152,CHI,0,1,2016,83,83,50,33,42,41,3,5,0,0.0,1.0
CHI,30153,NSH,1,1,2016,84,84,43,41,50,34,5,2,1,1.0,0.0
CHI,30154,NSH,1,1,2016,85,85,44,41,50,35,5,2,1,1.0,0.0
STL,30161,MIN,0,1,2016,82,82,49,33,46,36,5,7,0,1.0,1.0
STL,30162,MIN,0,1,2016,83,83,49,34,47,36,5,7,0,0.0,1.0
MIN,30163,STL,1,1,2016,84,84,48,36,49,35,8,5,1,1.0,0.0
MIN,30164,STL,0,1,2016,85,85,49,36,49,36,8,5,1,1.0,0.0
STL,30165,MIN,0,1,2016,86,86,50,36,49,37,6,7,0,1.0,0.0
CGY,30171,ANA,1,1,2016,82,82,46,36,45,37,8,4,0,1.0,0.0
CGY,30172,ANA,1,1,2016,83,83,47,36,45,38,8,4,0,1.0,0.0
ANA,30173,CGY,0,1,2016,84,84,45,39,48,36,4,8,0,0.0,1.0
ANA,30174,CGY,0,1,2016,85,85,45,40,49,36,3,8,0,0.0,1.0
SJS,30181,EDM,0,1,2016,82,82,47,35,46,36,8,4,1,1.0,1.0
SJS,30182,EDM,1,1,2016,83,83,47,36,47,36,8,5,1,0.0,1.0
EDM,30183,SJS,0,1,2016,84,84,47,37,48,36,5,8,0,0.0,1.0
EDM,30184,SJS,1,1,2016,85,85,47,38,49,36,5,8,0,0.0,1.0
SJS,30185,EDM,1,1,2016,86,86,49,37,48,38,7,5,1,0.0,1.0
EDM,30186,SJS,0,1,2016,87,87,48,39,50,37,5,7,0,0.0,1.0
NYR,30211,OTT,1,1,2016,88,88,48,40,52,36,7,6,0,1.0,1.0
NYR,30212,OTT,1,1,2016,89,89,49,40,52,37,7,5,0,1.0,0.0
OTT,30213,NYR,1,1,2016,90,90,52,38,50,40,5,7,1,0.0,1.0
OTT,30214,NYR,1,1,2016,91,91,53,38,50,41,6,6,1,1.0,0.0
NYR,30215,OTT,1,1,2016,92,92,50,42,54,38,6,6,0,0.0,1.0
OTT,30216,NYR,0,1,2016,93,93,54,39,51,42,5,7,1,0.0,1.0
PIT,30221,WSH,0,1,2016,88,87,59,29,54,33,7,7,0,1.0,1.0
PIT,30222,WSH,0,1,2016,89,88,59,30,55,33,6,7,0,0.0,1.0
WSH,30223,PIT,0,1,2016,89,90,56,33,59,31,7,5,0,1.0,0.0
WSH,30224,PIT,1,1,2016,90,91,56,34,60,31,6,5,0,0.0,1.0
PIT,30225,WSH,1,1,2016,92,91,60,32,57,34,5,7,0,0.0,1.0
WSH,30226,PIT,0,1,2016,92,93,57,35,61,32,7,5,0,0.0,1.0
PIT,30227,WSH,0,1,2016,94,93,62,32,57,36,6,6,0,1.0,0.0
NSH,30231,STL,0,1,2016,87,86,50,37,45,41,8,6,0,1.0,1.0
NSH,30232,STL,1,1,2016,88,87,50,38,46,41,7,7,0,0.0,1.0
STL,30233,NSH,1,1,2016,88,89,46,42,51,38,6,8,1,0.0,1.0
STL,30234,NSH,1,1,2016,89,90,47,42,51,39,7,7,1,1.0,0.0
NSH,30235,STL,1,1,2016,91,90,51,40,48,42,6,8,0,0.0,1.0
STL,30236,NSH,1,1,2016,91,92,48,43,52,40,7,6,1,0.0,1.0
EDM,30241,ANA,0,1,2016,86,88,50,36,51,37,8,7,0,1.0,1.0
EDM,30242,ANA,0,1,2016,87,89,50,37,52,37,8,8,0,0.0,1.0
ANA,30243,EDM,0,1,2016,90,88,53,37,50,38,8,8,1,1.0,0.0
ANA,30244,EDM,0,1,2016,91,89,53,38,51,38,7,8,1,0.0,1.0
EDM,30245,ANA,1,1,2016,90,92,52,38,53,39,8,6,0,1.0,0.0
ANA,30246,EDM,1,1,2016,93,91,53,40,53,38,6,8,1,0.0,1.0
EDM,30247,ANA,1,1,2016,92,94,53,39,54,40,7,6,0,0.0,1.0
OTT,30311,PIT,0,1,2016,94,94,58,36,52,42,6,7,0,1.0,1.0
OTT,30312,PIT,1,1,2016,95,95,58,37,53,42,5,7,0,0.0,1.0
PIT,30313,OTT,1,1,2016,96,96,53,43,59,37,6,6,1,0.0,1.0
PIT,30314,OTT,0,1,2016,97,97,54,43,59,38,7,5,1,1.0,0.0
OTT,30315,PIT,1,1,2016,98,98,60,38,54,44,5,6,0,1.0,0.0
PIT,30316,OTT,1,1,2016,99,99,54,45,61,38,5,5,1,0.0,1.0
OTT,30317,PIT,1,1,2016,100,100,61,39,55,45,5,5,0,0.0,1.0
NSH,30321,ANA,0,1,2016,93,92,54,39,49,43,7,8,0,1.0,1.0
NSH,30322,ANA,1,1,2016,94,93,54,40,50,43,6,8,0,0.0,1.0
